Participantes;degree;closeness;betweenness
Camilla;0,3684210526315789;0,575757575757576;0,00522138680033417
Gilberto;0,5263157894736842;0,678571428571429;0,06473359324236519
Juliette;0,2105263157894737;0,542857142857143;0,00307017543859649
Arthur;0,5263157894736842;0,655172413793103;0,03246310219994430
Fiuk;0,3157894736842105;0,558823529411765;0,00460410284971689
Viih Tube;0,6842105263157895;0,730769230769231;0,07692147034252299
Caio;0,6842105263157895;0,760000000000000;0,09503388099879330
João;0,4736842105263158;0,633333333333333;0,01172607444537269
Thais;0,5263157894736842;0,678571428571429;0,03520839134874223
Rodolffo;0,5263157894736842;0,678571428571429;0,05182632507193911
Pocah;0,5789473684210527;0,678571428571429;0,02906804047154924
Sarah;0,3684210526315789;0,612903225806452;0,11387264457439895
Projota;0,5263157894736842;0,655172413793103;0,02152139608279959
Karol;0,5789473684210527;0,678571428571429;0,03012392091339460
Lumena;0,4210526315789473;0,612903225806452;0,01375661375661376
Nego Di;0,5263157894736842;0,655172413793103;0,01946765060800148
Arcrebiano;0,1578947368421053;0,487179487179487;0,00000000000000000
Kerline;0,5789473684210527;0,703703703703704;0,06179337231968811
Lucas;0,0526315789473684;0,387755102040816;0,00000000000000000
Carla;0,5263157894736842;0,655172413793103;0,01964633806739070
