Participantes;degree;closeness;betweenness
Arthur;0,384615384615385;0,590909090909091;0,01912393162393163
Caio;0,461538461538462;0,650000000000000;0,03550569800569801
Camilla;0,692307692307692;0,764705882352941;0,09184472934472933
Fiuk;0,384615384615385;0,619047619047619;0,01378205128205128
João;0,538461538461538;0,684210526315789;0,04921652421652421
Juliette;0,384615384615385;0,619047619047619;0,01816239316239316
Rodolffo;0,307692307692308;0,541666666666667;0,00000000000000000
Thais;0,615384615384615;0,722222222222222;0,05135327635327636
Viih Tube;0,769230769230769;0,812500000000000;0,19811253561253561
Gilberto;0,538461538461538;0,684210526315789;0,09102564102564104
Sarah;0,307692307692308;0,541666666666667;0,00256410256410256
Carla;0,307692307692308;0,541666666666667;0,00320512820512821
Pocah;0,461538461538462;0,650000000000000;0,05822649572649572
Projota;0,461538461538462;0,619047619047619;0,03454415954415955
