Participantes;degree;closeness;betweenness
Camilla;0,6842105263157895;0,760000000000000;0,02196041450427415
Gilberto;0,5789473684210527;0,703703703703704;0,01426757128511514
Juliette;0,6315789473684210;0,730769230769231;0,01445786182628288
Arthur;0,7894736842105263;0,791666666666667;0,03524615410580322
Fiuk;0,5263157894736842;0,655172413793103;0,00647958279537227
Viih Tube;0,8421052631578947;0,863636363636364;0,03322046699239681
Caio;0,7368421052631579;0,791666666666667;0,03406010818291520
João;0,7368421052631579;0,791666666666667;0,02927499725745340
Thais;0,7368421052631579;0,791666666666667;0,02887817186062800
Rodolffo;0,5789473684210527;0,703703703703704;0,01801072546686582
Pocah;0,7368421052631579;0,760000000000000;0,01579960001012633
Sarah;0,5789473684210527;0,703703703703704;0,11973494341915394
Projota;0,6842105263157895;0,730769230769231;0,01747234247234247
Karol;0,6842105263157895;0,730769230769231;0,02248951503337468
Lumena;0,5263157894736842;0,655172413793103;0,00760044049517734
Nego Di;0,6315789473684210;0,703703703703704;0,02083259495540197
Arcrebiano;0,3157894736842105;0,593750000000000;0,00491970667409264
Kerline;0,7368421052631579;0,791666666666667;0,02587782587782588
Lucas;0,0526315789473684;0,422222222222222;0,00000000000000000
Carla;0,5263157894736842;0,655172413793103;0,00310118731171363
